match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,commentary,link
1273727,INDIA v PAK,INDIA,PAK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,INDIA,1,KL Rahul,KL Rahul,3,8,15,0,0,37.5,FALSE,FALSE,"{'wickets': 2, 'runs': 6}",2.1, b Shaheen Shah Afridi,"<b>and another!</b> Rahul's played around this and lost his wickets. Shaheen Afridi is spitting fire here! India have no answers at the moment. This is good length, shaped in from <strike>the corridor</strike> off stump. Rahul leans in and closes the face on it to try and play with the angle into him. It looks like he's missed and this has gone off the thigh and into the stumps. Might have been an inside edge first too. Fully cramped and playing across the line",
1273727,INDIA v PAK,INDIA,PAK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,INDIA,1,RG Sharma,Rohit Sharma,0,1,6,0,0,0,FALSE,FALSE,"{'wickets': 1, 'runs': 1}",0.4,lbw b Shaheen Shah Afridi,"<b>bang on the money!</b> Peak Shaheen. What a bowler. This is yorker length, marginal bend inwards, nothing exagerrated. But the direction on this and the pace on it have given Rohit no chance. He's hurriedly getting the front leg out of the way as it curves in late and trying to whip it through midwicket. He's caught in front of middle stump on his back leg. Too good to sort that out first ball",
1273727,INDIA v PAK,INDIA,PAK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,INDIA,1,V Kohli,Virat Kohli,57,49,94,5,1,116.32,TRUE,FALSE,"{'wickets': 6, 'runs': 133}",18.4,c &dagger;Mohammad Rizwan b Shaheen Shah Afridi,"got him, this has been an outstanding over from Shaheen! Slower bouncer, gets up around the right shoulder, and Kohli is too early on his attempted pull. All he manages is a top-edge that plops gently to the right of the keeper. That's the first time Pakistan have dismissed him in a T20 World Cup game",
1273727,INDIA v PAK,INDIA,PAK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,INDIA,1,SA Yadav,Suryakumar Yadav,11,8,18,1,1,137.5,FALSE,FALSE,"{'wickets': 3, 'runs': 31}",5.4,c &dagger;Mohammad Rizwan b Hasan Ali,"<b>lovely grab by Rizwan!</b> Banged in at a length, lands on the seam and straightens <i>just</i> a bit as SKY gets down the pitch to try and punch it on the rise. That bit of straightening has done him outside off and this is a big deflection off the outside edge. Rizwan does really well to track this to his right and hold on, that was a touch wider than a first slip would have been",
1273727,INDIA v PAK,INDIA,PAK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,INDIA,1,RR Pant,Rishabh Pant,39,30,36,2,2,130,FALSE,FALSE,"{'wickets': 4, 'runs': 84}",12.2,c &amp; b Shadab Khan,"wrong'un, and that's done the trick, Shadab ends a dangerous innings just before it can take Pakistan out of the game. Looped up slow, pitching on middle and leg or thereabouts, and Pant looks to sweep. The ball dips on him a little, turns away, and he ends up skewing it high in the air, in the direction of mid-on. Long-on is back on the boundary, though, so it falls to the bowler to backtrack to his left and take a very well-judged catch with both hands, over his head",
1273727,INDIA v PAK,INDIA,PAK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,INDIA,1,RA Jadeja,Ravindra Jadeja,13,13,28,1,0,100,FALSE,FALSE,"{'wickets': 5, 'runs': 125}",17.5,c sub (Mohammad Nawaz (3)) b Hasan Ali,"fullish slower ball outside off, and the lack of pace does Jadeja in. He's looking to hit over mid-on initially, I think, but he's early on the shot, reaching well in front of his body, and then tries to adjust by bringing his wrists into the shot. All that does is send the ball down the throat of deep midwicket",
1273727,INDIA v PAK,INDIA,PAK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,INDIA,1,HH Pandya,Hardik Pandya,11,8,10,2,0,137.5,FALSE,FALSE,"{'wickets': 7, 'runs': 146}",19.3,c Babar Azam b Haris Rauf,"another slower ball, on a length outside off, and that's proving unhittable today, at least when Rauf delivers them. Looks to hit it with a straight bat over the bowler's head, but he ends up skewing it over the off side, and deep cover runs in and takes it close to the 30-yard circle",
1273727,INDIA v PAK,INDIA,PAK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,INDIA,1,B Kumar,Bhuvneshwar Kumar,5,4,3,0,0,125,FALSE,TRUE,{},,not out,,
1273727,INDIA v PAK,INDIA,PAK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,INDIA,1,Mohammed Shami,Mohammed Shami,0,0,-,0,0,-,FALSE,TRUE,{},,not out,,
1273727,INDIA v PAK,INDIA,PAK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,PAK,2,Mohammad Rizwan,Mohammad Rizwan,79,55,87,6,3,143.63,FALSE,TRUE,{},,not out,,
